LINK_MODEL_BASED::PROCESSED::Left Hip Angles
File	Frame	X 	Y 	Z 
 - 	143	-6.985489	-6.753567	-0.277913
 - 	144	-6.450775	-6.446724	-0.544916
 - 	145	-5.599415	-6.030781	-0.423855
 - 	146	-4.552101	-5.570157	-0.013178
 - 	147	-3.426678	-5.156374	0.540109
 - 	148	-2.315691	-4.906269	1.097681
 - 	149	-1.260040	-4.943551	1.559634
 - 	150	-0.224834	-5.362722	1.870217
 - 	151	0.910969	-6.187459	2.019516
 - 	152	2.335951	-7.344528	2.044380
 - 	153	4.248329	-8.671361	2.017443
 - 	154	6.772106	-9.958335	2.022733
 - 	155	9.891487	-11.006020	2.129272
 - 	156	13.448803	-11.671190	2.371417
 - 	157	17.207794	-11.887460	2.735694
 - 	158	20.936779	-11.662632	3.155240
 - 	159	24.461468	-11.061321	3.521285
 - 	160	27.672316	-10.178874	3.716045
 - 	161	30.506775	-9.111761	3.651542
 - 	162	32.932865	-7.933203	3.290690
 - 	163	34.942863	-6.683048	2.642592
 - 	164	36.550041	-5.373865	1.743928
 - 	165	37.781849	-4.007216	0.643289
 - 	166	38.671288	-2.591213	-0.601939
 - 	167	39.251812	-1.152453	-1.915113
 - 	168	39.557457	0.261290	-3.183565
 - 	169	39.625694	1.588124	-4.250896
 - 	170	39.499008	2.765576	-4.932731
 - 	171	39.222492	3.744108	-5.054947
 - 	172	38.838299	4.494617	-4.498593
 - 	173	38.381226	5.008753	-3.237981
 - 	174	37.877045	5.295727	-1.370195
 - 	175	37.340202	5.379945	0.868714
 - 	176	36.769154	5.300755	3.125419
 - 	177	36.145378	5.112226	5.015155
 - 	178	35.443756	4.879363	6.252333
 - 	179	34.651993	4.667778	6.750384
 - 	180	33.784584	4.526397	6.620345
 - 	181	32.877491	4.467458	6.070934
 - 	182	31.961756	4.454120	5.285025
 - 	183	31.026951	4.407638	4.358281
 - 	184	29.996569	4.236969	3.332446
 - 	185	28.741394	3.876222	2.277436
 - 	186	27.134403	3.305705	1.335213
 - 	187	25.111128	2.545135	0.679037
 - 	188	22.690012	1.632555	0.426989
 - 	189	19.945778	0.610761	0.586384
 - 	190	16.968456	-0.473795	1.065440
 - 	191	13.839678	-1.571353	1.727455
 - 	192	10.631315	-2.636214	2.438962
 - 	193	7.414463	-3.635419	3.085487
 - 	194	4.267242	-4.550161	3.566518
 - 	195	1.276449	-5.369622	3.795011
 - 	196	-1.466393	-6.083415	3.709827
 - 	197	-3.871391	-6.677744	3.292006
 - 	198	-5.856443	-7.135948	2.573464
 - 	199	-7.353231	-7.441575	1.632499
 - 	200	-8.315470	-7.582371	0.580868
 - 	201	-8.731073	-7.554251	-0.448123
 - 	202	-8.634338	-7.364435	-1.313210
 - 	203	-8.109589	-7.033781	-1.892633
 - 	204	-7.280632	-6.600154	-2.122084
 - 	205	-6.288258	-6.124524	-2.018618
 - 	206	-5.262127	-5.697334	-1.673429
 - 	207	-4.292704	-5.437246	-1.223227
 - 	208	-3.407904	-5.473996	-0.816481
 - 	209	-2.558592	-5.914844	-0.574229
 - 	210	-1.616524	-6.804386	-0.546380
 - 	211	-0.391466	-8.093832	-0.686940
 - 	212	1.322126	-9.636730	-0.871249
 - 	213	3.671865	-11.220012	-0.948083
 - 	214	6.680387	-12.619767	-0.797654
 - 	215	10.227623	-13.654766	-0.369543
 - 	216	14.094047	-14.215840	0.308667
 - 	217	18.034586	-14.269852	1.143867
 - 	218	21.840027	-13.849157	1.998938
 - 	219	25.362125	-13.033278	2.720712
 - 	220	28.507542	-11.923637	3.174493
 - 	221	31.222172	-10.616194	3.276023
 - 	222	33.481735	-9.182302	3.007084
 - 	223	35.288467	-7.664429	2.409360
 - 	224	36.666306	-6.084894	1.564311
 - 	225	37.651703	-4.461299	0.572996
 - 	226	38.284081	-2.821897	-0.454914
 - 	227	38.600399	-1.214677	-1.403872
 - 	228	38.635414	0.294351	-2.154359
 - 	229	38.425674	1.633389	-2.590078
 - 	230	38.013699	2.741302	-2.610070
 - 	231	37.448910	3.580081	-2.142025
 - 	232	36.785271	4.139391	-1.158527
 - 	233	36.076714	4.435385	0.296201
 - 	234	35.369698	4.507888	2.071401
 - 	235	34.692352	4.417615	3.894145
 - 	236	34.045364	4.241973	5.415150
