LINK_MODEL_BASED::PROCESSED::Left Ankle Angles_filtered
File	Frame	X 	Y 	Z 
 - 	146	-22.038736	3.802541	11.365438
 - 	147	-21.749172	4.531216	11.784861
 - 	148	-20.728109	4.845613	11.793957
 - 	149	-19.289948	4.983596	11.411781
 - 	150	-17.728350	5.221581	10.670900
 - 	151	-16.159069	5.566299	9.703903
 - 	152	-14.529216	5.759201	8.733200
 - 	153	-12.743824	5.557314	7.909496
 - 	154	-10.776019	4.988803	7.150299
 - 	155	-8.695363	4.324398	6.217527
 - 	156	-6.634045	3.840899	5.009618
 - 	157	-4.730856	3.663473	3.729402
 - 	158	-3.083644	3.777348	2.720335
 - 	159	-1.724779	4.074898	2.174432
 - 	160	-0.609634	4.406650	2.024755
 - 	161	0.375171	4.675055	2.064570
 - 	162	1.344038	4.856851	2.107037
 - 	163	2.315113	4.940778	2.045143
 - 	164	3.200522	4.964076	1.835011
 - 	165	3.909073	5.075042	1.490113
 - 	166	4.439757	5.410280	1.107544
 - 	167	4.877789	5.948121	0.864111
 - 	168	5.329217	6.575185	0.925309
 - 	169	5.858842	7.251127	1.321056
 - 	170	6.446311	8.059596	1.929460
 - 	171	6.965332	9.092566	2.590840
 - 	172	7.244885	10.282429	3.180875
 - 	173	7.231331	11.434561	3.560495
 - 	174	7.066578	12.524211	3.577853
 - 	175	6.861713	13.820557	3.240242
 - 	176	6.354391	15.414927	2.865520
 - 	177	5.025380	16.595272	2.968789
 - 	178	2.826272	16.052124	3.891294
 - 	179	0.683995	13.027580	5.447354
 - 	180	-0.081632	8.195650	6.965360
 - 	181	1.110917	3.213436	7.799314
 - 	182	3.759190	-0.536313	7.838080
 - 	183	6.925421	-2.670815	7.493871
 - 	184	9.920524	-3.578604	7.255869
 - 	185	12.453362	-3.847537	7.321335
 - 	186	14.478806	-3.891793	7.591242
 - 	187	16.042301	-3.862521	7.865044
 - 	188	17.176775	-3.748908	7.949383
 - 	189	17.854233	-3.515977	7.660885
 - 	190	18.003109	-3.129707	6.909420
 - 	191	17.554747	-2.500986	5.856436
 - 	192	16.463398	-1.523277	4.892079
 - 	193	14.698414	-0.223827	4.360479
 - 	194	12.248136	1.178036	4.313428
 - 	195	9.143738	2.415000	4.523324
 - 	196	5.476112	3.332712	4.676921
 - 	197	1.392528	3.871660	4.570250
 - 	198	-2.918152	3.982340	4.230101
 - 	199	-7.241792	3.670552	3.932544
 - 	200	-11.355220	3.084391	4.071853
 - 	201	-15.046322	2.475204	4.909279
 - 	202	-18.137562	2.106645	6.359685
 - 	203	-20.498245	2.189193	8.004672
 - 	204	-22.031721	2.748686	9.366720
 - 	205	-22.670357	3.515266	10.202224
 - 	206	-22.432539	4.096737	10.527333
 - 	207	-21.497475	4.338696	10.434347
 - 	208	-20.172184	4.439943	9.980539
 - 	209	-18.736198	4.695800	9.226443
 - 	210	-17.306667	5.173660	8.297562
 - 	211	-15.841686	5.628967	7.388406
 - 	212	-14.246391	5.717210	6.672376
 - 	213	-12.469607	5.301818	6.135451
 - 	214	-10.541187	4.558055	5.532903
 - 	215	-8.574073	3.789104	4.632261
 - 	216	-6.740706	3.188771	3.512986
 - 	217	-5.207257	2.800114	2.534971
 - 	218	-4.048715	2.656549	1.998584
 - 	219	-3.207761	2.871372	1.911728
 - 	220	-2.532687	3.480215	2.087774
 - 	221	-1.870397	4.213523	2.351069
 - 	222	-1.148748	4.648455	2.579004
 - 	223	-0.384207	4.687930	2.641160
 - 	224	0.378786	4.674156	2.428449
 - 	225	1.120306	4.932273	1.949069
 - 	226	1.849127	5.424442	1.344455
 - 	227	2.586047	5.933159	0.814072
 - 	228	3.339327	6.389695	0.536279
 - 	229	4.071115	6.943050	0.624532
 - 	230	4.693726	7.808831	1.110885
 - 	231	5.125749	9.081033	1.925066
 - 	232	5.376850	10.646994	2.838371
 - 	233	5.594721	12.305853	3.451970
 - 	234	5.981344	13.987476	3.388165
 - 	235	6.527160	15.743120	2.645384
 - 	236	6.766811	17.362900	1.791997
 - 	237	6.004869	18.026987	1.706198
 - 	238	4.090437	16.629826	2.929658
 - 	239	1.941922	12.761803	5.111409
 - 	240	0.985829	7.353843	7.130255
 - 	241	1.997049	2.120003	7.956655
 - 	242	4.634492	-1.675633	7.482402
 - 	243	7.967464	-3.848136	6.470285
 - 	244	11.166891	-4.943717	5.732924
 - 	245	13.787404	-5.582314	5.496273
 - 	246	15.747226	-6.078313	5.552623
 - 	247	17.198666	-6.421328	5.744701
 - 	248	18.325813	-6.482883	6.049825
 - 	249	19.161379	-6.223509	6.335956
 - 	250	19.572216	-5.695025	6.351199
 - 	251	19.393341	-4.909847	6.005157
 - 	252	18.532085	-3.833484	5.505050
 - 	253	16.961199	-2.519320	5.172286
 - 	254	14.680907	-1.141891	5.196784
 - 	255	11.719302	0.142065	5.542917
 - 	256	8.153513	1.279300	5.987041
 - 	257	4.120001	2.221790	6.247273
 - 	258	-0.192554	2.830556	6.185939
 - 	259	-4.564174	2.971019	5.954541
 - 	260	-8.772741	2.680606	5.929367
 - 	261	-12.628375	2.199934	6.458567
 - 	262	-16.004946	1.883455	7.610374
 - 	263	-18.832100	2.060760	9.129166
 - 	264	-21.019131	2.814597	10.643353
 - 	265	-22.389254	3.831284	11.910311
 - 	266	-22.764071	4.628852	12.851202
 - 	267	-22.165493	5.014271	13.431557
 - 	268	-20.896004	5.226042	13.612604
 - 	269	-19.364990	5.618684	13.397699
 - 	270	-17.825020	6.282621	12.857068
 - 	271	-16.266289	6.956697	12.107350
 - 	272	-14.527180	7.264349	11.248472
 - 	273	-12.483257	7.050066	10.254375
 - 	274	-10.163055	6.504101	8.956025
 - 	275	-7.742963	5.950446	7.240412
 - 	276	-5.458773	5.529607	5.274266
 - 	277	-3.499914	5.144332	3.458190
 - 	278	-1.940379	4.722008	2.150145
 - 	279	-0.727588	4.412348	1.449695
 - 	280	0.270096	4.403723	1.200775
 - 	281	1.173905	4.612186	1.150700
 - 	282	2.022643	4.749513	1.116995
 - 	283	2.784566	4.713452	1.033987
 - 	284	3.434556	4.701750	0.889882
 - 	285	4.004900	4.897197	0.692996
 - 	286	4.561952	5.249728	0.513155
 - 	287	5.147472	5.632261	0.485977
 - 	288	5.746263	6.066063	0.723978
 - 	289	6.298110	6.740433	1.239369
 - 	290	6.727627	7.843558	1.961852
 - 	291	6.981130	9.351772	2.768477
 - 	292	7.078616	11.000083	3.448510
 - 	293	7.110848	12.534451	3.725318
 - 	294	7.065214	13.932788	3.454566
 - 	295	6.594873	15.156933	2.849018
 - 	296	5.168614	15.629495	2.461465
 - 	297	2.773643	14.296756	2.827268
 - 	298	0.429012	10.628616	3.980834
 - 	299	-0.407103	5.520008	5.335756
 - 	300	0.924279	0.814005	6.185613
 - 	301	3.843832	-2.169670	6.344110
 - 	302	7.242494	-3.441754	6.217627
 - 	303	10.312549	-3.820942	6.303739
 - 	304	12.763709	-4.007419	6.746511
 - 	305	14.619423	-4.211846	7.357910
 - 	306	15.989062	-4.349715	7.881241
 - 	307	16.940899	-4.339953	8.112399
 - 	308	17.458647	-4.206240	7.891368
 - 	309	17.466536	-3.965652	7.189138
 - 	310	16.888618	-3.501750	6.237964
 - 	311	15.679881	-2.642983	5.456609
 - 	312	13.812763	-1.397145	5.162355
 - 	313	11.271720	-0.029513	5.337687
 - 	314	8.087645	1.151917	5.666086
 - 	315	4.368374	2.020987	5.795144
 - 	316	0.282414	2.583532	5.593637
 - 	317	-3.975924	2.819136	5.200615
 - 	318	-8.198410	2.712734	4.888281
 - 	319	-12.167315	2.387074	4.916431
 - 	320	-15.683309	2.091686	5.455505
 - 	321	-18.599325	2.082164	6.517789
 - 	322	-20.814371	2.503005	7.922111
 - 	323	-22.224516	3.256579	9.384781
 - 	324	-22.716587	3.981139	10.662078
 - 	325	-22.281446	4.328181	11.605288
 - 	326	-21.136265	4.312734	12.144240
 - 	327	-19.652126	4.297224	12.247523
 - 	328	-18.115852	4.619158	11.862917
 - 	329	-16.582422	5.266582	10.925745
 - 	330	-14.946903	5.866124	9.490281
 - 	331	-13.107891	5.953357	7.807354
 - 	332	-11.055005	5.320982	6.156643
 - 	333	-8.860877	4.176430	4.593472
 - 	334	-6.655778	2.977715	2.976362
 - 	335	-4.612639	2.104791	1.290839
 - 	336	-2.905608	1.630700	-0.159807
 - 	337	-1.640439	1.320735	-0.966929
 - 	338	-0.799230	0.892418	-0.970917
 - 	339	-0.228887	0.419995	-0.366956
 - 	340	0.298866	0.398728	0.473045
 - 	341	0.952166	1.161604	1.215504
 - 	342	1.732440	2.356123	1.642188
 - 	343	2.521253	3.322249	1.631689
 - 	344	3.229164	3.830460	1.165596
 - 	345	3.871748	4.123468	0.364689
 - 	346	4.515623	4.427345	-0.539732
 - 	347	5.192802	4.758093	-1.310842
 - 	348	5.864274	5.131543	-1.773214
 - 	349	6.425971	5.742722	-1.783895
 - 	350	6.747180	6.884000	-1.229609
 - 	351	6.763611	8.680597	-0.170875
 - 	352	6.595919	10.896408	1.018190
 - 	353	6.549953	13.071547	1.795979
 - 	354	6.861121	14.896280	1.851525
 - 	355	7.310725	16.300201	1.392110
 - 	356	7.169750	17.021734	1.061171
 - 	357	5.807076	16.287481	1.523130
 - 	358	3.530726	13.328376	2.952651
 - 	359	1.647820	8.357346	4.805671
 - 	360	1.455788	2.817525	6.178164
 - 	361	3.225107	-1.565312	6.549907
 - 	362	6.211745	-3.987648	6.199440
 - 	363	9.410244	-4.840495	5.848975
 - 	364	12.149427	-5.010643	5.965111
 - 	365	14.205770	-5.111705	6.465963
 - 	366	15.638917	-5.275372	6.982075
 - 	367	16.575026	-5.383502	7.213938
 - 	368	17.061302	-5.321986	7.045319
 - 	369	17.042599	-5.039124	6.494630
 - 	370	16.425186	-4.482125	5.701896
 - 	371	15.139819	-3.583556	4.948333
 - 	372	13.154149	-2.354657	4.555140
 - 	373	10.466061	-0.961984	4.656295
 - 	374	7.121511	0.346720	5.071445
 - 	375	3.242875	1.391615	5.442797
 - 	376	-0.968292	2.101617	5.527444
 - 	377	-5.262924	2.449541	5.408297
 - 	378	-9.398364	2.435935	5.465210
 - 	379	-13.190896	2.169173	6.095898
 - 	380	-16.536909	1.942410	7.368763
 - 	381	-19.379183	2.148272	8.931402
 - 	382	-21.620867	2.957369	10.304529
 - 	383	-23.066397	4.047995	11.248938
 - 	384	-23.512959	4.834929	11.819773
 - 	385	-22.959671	5.045894	12.151339
 - 	386	-21.698494	4.943211	12.282596
 - 	387	-20.152847	4.970861	12.147182
 - 	388	-18.625914	5.339769	11.651304
 - 	389	-17.185625	5.942627	10.781512
 - 	390	-15.724045	6.489324	9.689391
 - 	391	-14.088769	6.686329	8.626753
 - 	392	-12.194038	6.409382	7.712543
 - 	393	-10.074642	5.771438	6.788189
 - 	394	-7.878668	5.013736	5.599994
 - 	395	-5.807258	4.337114	4.128697
 - 	396	-4.027014	3.832606	2.665100
 - 	397	-2.601969	3.534096	1.556026
 - 	398	-1.477342	3.500747	0.936233
 - 	399	-0.517189	3.782876	0.708327
 - 	400	0.407406	4.262913	0.700783
 - 	401	1.322671	4.660317	0.781371
 - 	402	2.150799	4.839540	0.852713
 - 	403	2.823944	4.995061	0.835577
 - 	404	3.378736	5.383499	0.706674
 - 	405	3.923553	5.991847	0.522707
 - 	406	4.538884	6.593800	0.372918
 - 	407	5.221602	7.051237	0.319542
