LINK_MODEL_BASED::ORIGINAL::Left Ankle Angles
File	Frame	X 	Y 	Z 
 - 	127	-22.973923	38.236507	7.188861
 - 	128	-23.565775	38.594433	7.614980
 - 	129	-24.310022	38.888435	8.090886
 - 	130	-25.263899	39.097721	8.673072
 - 	131	-26.452328	39.187542	9.403512
 - 	132	-27.831999	39.111797	10.285236
 - 	133	-29.265350	38.821953	11.271274
 - 	134	-30.514359	38.282372	12.274310
 - 	135	-31.251028	37.486675	13.182557
 - 	136	-31.087156	36.470432	13.875176
 - 	137	-29.631462	35.312725	14.230353
 - 	138	-26.585917	34.117283	14.129139
 - 	139	-21.883867	32.964821	13.479453
 - 	140	-15.813725	31.869837	12.267958
 - 	141	-9.006921	30.792894	10.588821
 - 	142	-2.239806	29.694357	8.613598
 - 	143	3.827208	28.584827	6.544239
 - 	144	8.820992	27.555351	4.552284
 - 	145	12.677317	26.734713	2.711083
 - 	146	15.538939	26.185165	0.998481
 - 	147	17.622774	25.854647	-0.631779
 - 	148	19.139782	25.631697	-2.195274
 - 	149	20.276627	25.425188	-3.677061
 - 	150	21.192148	25.201361	-5.054459
 - 	151	21.998333	24.975397	-6.306580
 - 	152	22.742643	24.784714	-7.406707
 - 	153	23.415421	24.668951	-8.317393
 - 	154	23.980589	24.662563	-8.997037
 - 	155	24.415657	24.788628	-9.420674
 - 	156	24.732450	25.048025	-9.598550
 - 	157	24.962246	25.412565	-9.579226
 - 	158	25.128819	25.830139	-9.436999
 - 	159	25.239119	26.238167	-9.255202
 - 	160	25.289944	26.576469	-9.106831
 - 	161	25.277149	26.800007	-9.037289
 - 	162	25.201317	26.888639	-9.056297
 - 	163	25.070913	26.851189	-9.143327
 - 	164	24.902153	26.719221	-9.260501
 - 	165	24.714531	26.534170	-9.366007
 - 	166	24.524477	26.333191	-9.427445
 - 	167	24.339520	26.140661	-9.429360
 - 	168	24.157320	25.966009	-9.374325
 - 	169	23.968931	25.808207	-9.277832
 - 	170	23.764822	25.662056	-9.161172
 - 	171	23.540249	25.523645	-9.045821
 - 	172	23.296637	25.392056	-8.948295
 - 	173	23.040127	25.267889	-8.878381
 - 	174	22.779238	25.151690	-8.840794
 - 	175	22.522072	25.043610	-8.837228
 - 	176	22.273979	24.942873	-8.866293
 - 	177	22.035213	24.847477	-8.919840
 - 	178	21.798428	24.751717	-8.977377
 - 	179	21.547649	24.644627	-9.003993
 - 	180	21.262276	24.513659	-8.960058
 - 	181	20.927158	24.352526	-8.821838
 - 	182	20.540316	24.167339	-8.594743
 - 	183	20.110737	23.973602	-8.305036
 - 	184	19.648979	23.789255	-7.978420
 - 	185	19.161566	23.630281	-7.627718
 - 	186	18.651379	23.511374	-7.254626
 - 	187	18.119038	23.445913	-6.855771
 - 	188	17.563253	23.443478	-6.426898
 - 	189	16.980980	23.504414	-5.965010
 - 	190	16.368963	23.617964	-5.469750
 - 	191	15.727138	23.766035	-4.945565
