LINK_MODEL_BASED::ORIGINAL::Left Knee Angles
File	Frame	X 	Y 	Z 
 - 	127	23.190256	3.245188	-8.480987
 - 	128	23.286671	3.240011	-8.590757
 - 	129	23.462324	3.226542	-8.804998
 - 	130	23.709677	3.216919	-9.139753
 - 	131	24.022715	3.229105	-9.584279
 - 	132	24.403641	3.287217	-10.102534
 - 	133	24.867588	3.412986	-10.633918
 - 	134	25.448444	3.616686	-11.102968
 - 	135	26.204090	3.892257	-11.419335
 - 	136	27.220953	4.217577	-11.481247
 - 	137	28.612339	4.557344	-11.192482
 - 	138	30.504248	4.862680	-10.492368
 - 	139	33.001007	5.066334	-9.393101
 - 	140	36.126511	5.082063	-8.000079
 - 	141	39.773808	4.832329	-6.483148
 - 	142	43.737564	4.290310	-5.001240
 - 	143	47.831745	3.476508	-3.654295
 - 	144	51.975624	2.436411	-2.504636
 - 	145	56.170197	1.289369	-1.606314
 - 	146	60.410080	0.283528	-0.974692
 - 	147	64.610138	-0.292106	-0.529667
 - 	148	68.604454	-0.296113	-0.111532
 - 	149	72.219254	0.163723	0.421880
 - 	150	75.344444	0.797575	1.109220
 - 	151	77.948524	1.297114	1.879023
 - 	152	80.059135	1.478872	2.600822
 - 	153	81.741936	1.329024	3.143373
 - 	154	83.084595	0.956188	3.410879
 - 	155	84.185608	0.510300	3.366174
 - 	156	85.138725	0.117804	3.041184
 - 	157	86.005997	-0.148329	2.527264
 - 	158	86.799408	-0.269373	1.946586
 - 	159	87.488983	-0.267391	1.420407
 - 	160	88.029610	-0.183357	1.042330
 - 	161	88.387177	-0.057268	0.861746
 - 	162	88.553162	0.084070	0.880423
 - 	163	88.545532	0.229726	1.062455
 - 	164	88.400139	0.381851	1.351496
 - 	165	88.157898	0.551268	1.687415
 - 	166	87.852249	0.750297	2.021125
 - 	167	87.501144	0.986298	2.321441
 - 	168	87.106316	1.257483	2.575481
 - 	169	86.658157	1.551304	2.783171
 - 	170	86.143478	1.846800	2.950876
 - 	171	85.552101	2.119206	3.087109
 - 	172	84.880234	2.347321	3.199628
 - 	173	84.130531	2.519384	3.295208
 - 	174	83.309593	2.635523	3.380776
 - 	175	82.424866	2.706250	3.463975
 - 	176	81.482323	2.749064	3.551396
 - 	177	80.485840	2.784464	3.644207
 - 	178	79.437691	2.834659	3.733280
