Rubro economico,Subrubro economico,Actividad economica
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"463 - Venta al por mayor de alimentos, bebidas y tabaco",463020 - Venta al por mayor de bebidas alcohólicas y no alcohólicas
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"463 - Venta al por mayor de alimentos, bebidas y tabaco",463030 - Venta al por mayor de tabaco
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"463 - Venta al por mayor de alimentos, bebidas y tabaco",463011 - Venta al por mayor de frutas y verduras
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,464 - Venta al por mayor de enseres domésticos,464907 - Venta al por mayor de productos farmacéuticos y medicinales
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,464 - Venta al por mayor de enseres domésticos,464906 - Venta al por mayor de diarios y revistas
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,464 - Venta al por mayor de enseres domésticos,464908 - Venta al por mayor de instrumentos científicos y quirúrgicos
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,464 - Venta al por mayor de enseres domésticos,464909 - Venta al por mayor de otros enseres domésticos n.c.p.
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,464 - Venta al por mayor de enseres domésticos,"464100 - Venta al por mayor de productos textiles, prendas de vestir y calzado"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,464 - Venta al por mayor de enseres domésticos,"464901 - Venta al por mayor de muebles, excepto muebles de oficina"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,464 - Venta al por mayor de enseres domésticos,464902 - Venta al por mayor de artículos eléctricos y electrónicos para el hogar
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,464 - Venta al por mayor de enseres domésticos,"464903 - Venta al por mayor de artículos de perfumería, de tocador y cosméticos"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,464 - Venta al por mayor de enseres domésticos,464904 - Venta al por mayor de artículos de papelería y escritorio
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,464 - Venta al por mayor de enseres domésticos,464905 - Venta al por mayor de libros
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"465 - Venta al por mayor de maquinaria, equipo y materiales","465901 - Venta al por mayor de maquinaria metalúrgica, para la minería, extracción de petróleo y construcción"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"465 - Venta al por mayor de maquinaria, equipo y materiales","465905 - Venta al por mayor de equipo de transporte (excepto vehículos automotores, motocicletas y bicicletas)"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"465 - Venta al por mayor de maquinaria, equipo y materiales",465909 - Venta al por mayor de otros tipos de maquinaria y equipo n.c.p.
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"465 - Venta al por mayor de maquinaria, equipo y materiales","465300 - Venta al por mayor de maquinaria, equipo y materiales agropecuarios"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"465 - Venta al por mayor de maquinaria, equipo y materiales",465904 - Venta al por mayor de maquinaria y equipo de oficina; venta al por mayor de muebles de oficina
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"465 - Venta al por mayor de maquinaria, equipo y materiales","465902 - Venta al por mayor de maquinaria para la elaboración de alimentos, bebidas y tabaco"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"465 - Venta al por mayor de maquinaria, equipo y materiales","465200 - Venta al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"465 - Venta al por mayor de maquinaria, equipo y materiales","465100 - Venta al por mayor de computadores, equipo periférico y programas informáticos"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"465 - Venta al por mayor de maquinaria, equipo y materiales","465903 - Venta al por mayor de maquinaria para la industria textil, del cuero y del calzado"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,466 - Otras actividades de venta al por mayor especializada,"466100 - Venta al por mayor de combustibles sólidos, líquidos y gaseosos y productos conexos"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,466 - Otras actividades de venta al por mayor especializada,466902 - Venta al por mayor de desechos metálicos (chatarra)
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,466 - Otras actividades de venta al por mayor especializada,466901 - Venta al por mayor de productos químicos
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,466 - Otras actividades de venta al por mayor especializada,466200 - Venta al por mayor de metales y minerales metalíferos
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,466 - Otras actividades de venta al por mayor especializada,"466909 - Venta al por mayor de desperdicios, desechos y otros productos n.c.p."
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,466 - Otras actividades de venta al por mayor especializada,466301 - Venta al por mayor de madera en bruto y productos primarios de la elaboración de madera
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,466 - Otras actividades de venta al por mayor especializada,"466302 - Venta al por mayor de materiales de construcción, artículos de ferretería, gasfitería y calefacción"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,469 - Venta al por mayor no especializada,469000 - Venta al por mayor no especializada
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,471 - Venta al por menor en comercios no especializados,"471100 - Venta al por menor en comercios de alimentos, bebidas o tabaco (supermercados e hipermercados)"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,471 - Venta al por menor en comercios no especializados,471910 - Venta al por menor en comercios de vestuario y productos para el hogar (grandes tiendas)
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,471 - Venta al por menor en comercios no especializados,471990 - Otras actividades de venta al por menor en comercios no especializados n.c.p.
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472105 - Venta al por menor en comercios especializados de productos de panadería y pastelería
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados","472109 - Venta al por menor en comercios especializados de huevos, confites y productos alimenticios n.c.p."
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados","472104 - Venta al por menor en comercios especializados de pescado, mariscos y productos conexos"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472103 - Venta al por menor en comercios especializados de frutas y verduras (verdulerías)
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472300 - Venta al por menor de tabaco y productos de tabaco en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472200 - Venta al por menor de bebidas alcohólicas y no alcohólicas en comercios especializados (botillerías)
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472102 - Venta al por menor en comercios especializados de carne y productos cárnicos
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"472 - Venta al por menor de alimentos, bebidas y tabaco en comercios especializados",472101 - Venta al por menor de alimentos en comercios especializados (almacenes pequeños y minimarket)
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,473 - Venta al por menor de combustibles para vehículos automotores en comercios especializados,473000 - Venta al por menor de combustibles para vehículos automotores en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,474 - Venta al por menor de equipo de información y de comunicaciones en comercios especializados,"474100 - Venta al por menor de computadores, equipo periférico, programas informáticos y equipo de telecom."
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,474 - Venta al por menor de equipo de información y de comunicaciones en comercios especializados,474200 - Venta al por menor de equipo de sonido y de video en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,475 - Venta al por menor de otros enseres domésticos en comercios especializados,"475202 - Venta al por menor de pinturas, barnices y lacas en comercios especializados"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,475 - Venta al por menor de otros enseres domésticos en comercios especializados,475201 - Venta al por menor de artículos de ferretería y materiales de construcción
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,475 - Venta al por menor de otros enseres domésticos en comercios especializados,"475100 - Venta al por menor de telas, lanas, hilos y similares en comercios especializados"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,475 - Venta al por menor de otros enseres domésticos en comercios especializados,475901 - Venta al por menor de muebles y colchones en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,475 - Venta al por menor de otros enseres domésticos en comercios especializados,475203 - Venta al por menor de productos de vidrio en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,475 - Venta al por menor de otros enseres domésticos en comercios especializados,475902 - Venta al por menor de instrumentos musicales en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,475 - Venta al por menor de otros enseres domésticos en comercios especializados,"475909 - Venta al por menor de aparatos eléctricos, textiles para el hogar y otros enseres domésticos n.c.p."
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,475 - Venta al por menor de otros enseres domésticos en comercios especializados,"475300 - Venta al por menor de tapices, alfombras y cubrimientos para paredes y pisos"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,476 - Venta al por menor de productos culturales y recreativos en comercios especializados,476103 - Venta al por menor de artículos de papelería y escritorio en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,476 - Venta al por menor de productos culturales y recreativos en comercios especializados,476102 - Venta al por menor de diarios y revistas en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,476 - Venta al por menor de productos culturales y recreativos en comercios especializados,476101 - Venta al por menor de libros en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,476 - Venta al por menor de productos culturales y recreativos en comercios especializados,476400 - Venta al por menor de juegos y juguetes en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,476 - Venta al por menor de productos culturales y recreativos en comercios especializados,476309 - Venta al por menor de otros artículos y equipos de deporte n.c.p.
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,476 - Venta al por menor de productos culturales y recreativos en comercios especializados,476302 - Venta al por menor de bicicletas y sus repuestos en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,476 - Venta al por menor de productos culturales y recreativos en comercios especializados,476301 - Venta al por menor de artículos de caza y pesca en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,476 - Venta al por menor de productos culturales y recreativos en comercios especializados,476200 - Venta al por menor de grabaciones de música y de video en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,477402 - Venta al por menor de ropa usada en comercios
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,477401 - Venta al por menor de antigüedades en comercios
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,477399 - Venta al por menor de otros productos en comercios especializados n.c.p.
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,"477394 - Venta al por menor de artículos de joyería, bisutería y relojería en comercios especializados"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,477393 - Venta al por menor de artículos ópticos en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,477391 - Venta al por menor de alimento y accesorios para mascotas en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,477310 - Venta al por menor de gas licuado en bombonas (cilindros) en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,"477203 - Venta al por menor de artículos de perfumería, de tocador y cosméticos en comercios especializados"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,477202 - Venta al por menor de artículos ortopédicos en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,477201 - Venta al por menor de productos farmacéuticos y medicinales en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,"477103 - Venta al por menor de carteras, maletas y otros accesorios de viaje en comercios especializados"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,477102 - Venta al por menor de prendas y accesorios de vestir en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,477101 - Venta al por menor de calzado en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,"477395 - Venta al por menor de carbón, leña y otros combustibles de uso doméstico en comercios especializados"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,"477396 - Venta al por menor de recuerdos, artesanías y artículos religiosos en comercios especializados"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,"477397 - Venta al por menor de flores, plantas, árboles, semillas y abonos en comercios especializados"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,477398 - Venta al por menor de mascotas en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,477409 - Venta al por menor de otros artículos de segunda mano en comercios n.c.p.
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,477 - Venta al por menor de otros productos en comercios especializados,477392 - Venta al por menor de armas y municiones en comercios especializados
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,478 - Venta al por menor en puestos de venta y mercados,478900 - Venta al por menor de otros productos en puestos de venta y mercados (incluye ferias)
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,478 - Venta al por menor en puestos de venta y mercados,"478200 - Venta al por menor de productos textiles, prendas de vestir y calzado en puestos de venta y mercados"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,478 - Venta al por menor en puestos de venta y mercados,"478100 - Venta al por menor de alimentos, bebidas y tabaco en puestos de venta y mercados (incluye ferias)"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"479 - Venta al por menor no realizada en comercios, puestos de venta o mercados",479901 - Venta al por menor realizada por independientes en la locomoción colectiva (ley 20.388)
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"479 - Venta al por menor no realizada en comercios, puestos de venta o mercados","479100 - Venta al por menor por correo, por internet y vía telefónica"
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"479 - Venta al por menor no realizada en comercios, puestos de venta o mercados","479909 - Otras actividades de venta por menor no realizadas en comercios, puestos de venta o mercados n.c.p."
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"479 - Venta al por menor no realizada en comercios, puestos de venta o mercados",479903 - Venta al por menor por comisionistas (no dependientes de comercios)
G - Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,"479 - Venta al por menor no realizada en comercios, puestos de venta o mercados",479902 - Venta al por menor mediante máquinas expendedoras
H - Transporte y almacenamiento,491 - Transporte por ferrocarril,491100 - Transporte interurbano de pasajeros por ferrocarril
H - Transporte y almacenamiento,491 - Transporte por ferrocarril,491200 - Transporte de carga por ferrocarril
H - Transporte y almacenamiento,492 - Otras actividades de transporte por vía terrestre,492130 - Transporte de pasajeros vía taxi colectivo
H - Transporte y almacenamiento,492 - Otras actividades de transporte por vía terrestre,492230 - Servicios de transporte de pasajeros en taxis libres y radiotaxis
H - Transporte y almacenamiento,492 - Otras actividades de transporte por vía terrestre,492120 - Transporte urbano y suburbano de pasajeros vía locomoción colectiva
H - Transporte y almacenamiento,492 - Otras actividades de transporte por vía terrestre,492240 - Servicios de transporte a turistas
H - Transporte y almacenamiento,492 - Otras actividades de transporte por vía terrestre,492110 - Transporte urbano y suburbano de pasajeros vía metro y metrotren
H - Transporte y almacenamiento,492 - Otras actividades de transporte por vía terrestre,492300 - Transporte de carga por carretera
H - Transporte y almacenamiento,492 - Otras actividades de transporte por vía terrestre,492290 - Otras actividades de transporte de pasajeros por vía terrestre n.c.p.
H - Transporte y almacenamiento,492 - Otras actividades de transporte por vía terrestre,492210 - Servicios de transporte de escolares
H - Transporte y almacenamiento,492 - Otras actividades de transporte por vía terrestre,492250 - Transporte de pasajeros en buses interurbanos
H - Transporte y almacenamiento,492 - Otras actividades de transporte por vía terrestre,492220 - Servicios de transporte de trabajadores
H - Transporte y almacenamiento,492 - Otras actividades de transporte por vía terrestre,492190 - Otras actividades de transporte urbano y suburbano de pasajeros por vía terrestre n.c.p.
H - Transporte y almacenamiento,493 - Transporte por tuberías,493090 - Otras actividades de transporte por tuberías n.c.p.
H - Transporte y almacenamiento,493 - Transporte por tuberías,493020 - Transporte por gasoductos
H - Transporte y almacenamiento,493 - Transporte por tuberías,493010 - Transporte por oleoductos
H - Transporte y almacenamiento,501 - Transporte marítimo y de cabotaje,501200 - Transporte de carga marítimo y de cabotaje
H - Transporte y almacenamiento,501 - Transporte marítimo y de cabotaje,501100 - Transporte de pasajeros marítimo y de cabotaje
H - Transporte y almacenamiento,502 - Transporte por vías de navegación interiores,502100 - Transporte de pasajeros por vías de navegación interiores
H - Transporte y almacenamiento,502 - Transporte por vías de navegación interiores,502200 - Transporte de carga por vías de navegación interiores
H - Transporte y almacenamiento,511 - Transporte de pasajeros por vía aérea,511000 - Transporte de pasajeros por vía aérea
H - Transporte y almacenamiento,512 - Transporte de carga por vía aérea,512000 - Transporte de carga por vía aérea
H - Transporte y almacenamiento,521 - Almacenamiento y depósito,521001 - Explotación de frigoríficos para almacenamiento y depósito
H - Transporte y almacenamiento,521 - Almacenamiento y depósito,521009 - Otros servicios de almacenamiento y depósito n.c.p.
H - Transporte y almacenamiento,522 - Actividades de apoyo al transporte,522190 - Actividades de servicios vinculadas al transporte terrestre n.c.p.
H - Transporte y almacenamiento,522 - Actividades de apoyo al transporte,522400 - Manipulación de la carga
H - Transporte y almacenamiento,522 - Actividades de apoyo al transporte,522910 - Agencias de aduanas
H - Transporte y almacenamiento,522 - Actividades de apoyo al transporte,522110 - Explotación de terminales terrestres de pasajeros
H - Transporte y almacenamiento,522 - Actividades de apoyo al transporte,522120 - Explotación de estacionamientos de vehículos automotores y parquímetros
H - Transporte y almacenamiento,522 - Actividades de apoyo al transporte,522130 - Servicios prestados por concesionarios de carreteras
H - Transporte y almacenamiento,522 - Actividades de apoyo al transporte,522200 - Actividades de servicios vinculadas al transporte acuático
H - Transporte y almacenamiento,522 - Actividades de apoyo al transporte,522990 - Otras actividades de apoyo al transporte n.c.p.
H - Transporte y almacenamiento,522 - Actividades de apoyo al transporte,522300 - Actividades de servicios vinculadas al transporte aéreo
H - Transporte y almacenamiento,522 - Actividades de apoyo al transporte,522920 - Agencias de naves
H - Transporte y almacenamiento,531 - Actividades postales,531000 - Actividades postales
H - Transporte y almacenamiento,532 - Actividades de mensajería,532000 - Actividades de mensajería
I - Actividades de alojamiento y de servicio de comidas,551 - Actividades de alojamiento para estancias cortas,551001 - Actividades de hoteles
I - Actividades de alojamiento y de servicio de comidas,551 - Actividades de alojamiento para estancias cortas,551009 - Otras actividades de alojamiento para turistas n.c.p.
I - Actividades de alojamiento y de servicio de comidas,551 - Actividades de alojamiento para estancias cortas,551002 - Actividades de moteles
I - Actividades de alojamiento y de servicio de comidas,551 - Actividades de alojamiento para estancias cortas,551003 - Actividades de residenciales para turistas
I - Actividades de alojamiento y de servicio de comidas,"552 - Actividades de campamentos, parques de vehículos de recreo y parques de caravanas",552000 - Actividades de camping y de parques para casas rodantes
I - Actividades de alojamiento y de servicio de comidas,559 - Otras actividades de alojamiento,559009 - Otras actividades de alojamiento n.c.p.
I - Actividades de alojamiento y de servicio de comidas,559 - Otras actividades de alojamiento,559001 - Actividades de residenciales para estudiantes y trabajadores
I - Actividades de alojamiento y de servicio de comidas,561 - Actividades de restaurantes y de servicio móvil de comidas,561000 - Actividades de restaurantes y de servicio móvil de comidas
I - Actividades de alojamiento y de servicio de comidas,562 - Suministro de comidas por encargo y otras actividades de servicio de comidas,562900 - Suministro industrial de comidas por encargo; concesión de servicios de alimentación
I - Actividades de alojamiento y de servicio de comidas,562 - Suministro de comidas por encargo y otras actividades de servicio de comidas,562100 - Suministro de comidas por encargo (servicios de banquetería)
I - Actividades de alojamiento y de servicio de comidas,563 - Actividades de servicio de bebidas,563009 - Otras actividades de servicio de bebidas n.c.p.
I - Actividades de alojamiento y de servicio de comidas,563 - Actividades de servicio de bebidas,"563001 - Actividades de discotecas y cabaret (night club), con predominio del servicio de bebidas"
J - Información y comunicaciones,581 - Edición de libros y publicaciones periódicas y otras actividades de edición,581100 - Edición de libros
J - Información y comunicaciones,581 - Edición de libros y publicaciones periódicas y otras actividades de edición,581200 - Edición de directorios y listas de correo
J - Información y comunicaciones,581 - Edición de libros y publicaciones periódicas y otras actividades de edición,581900 - Otras actividades de edición
J - Información y comunicaciones,581 - Edición de libros y publicaciones periódicas y otras actividades de edición,"581300 - Edición de diarios, revistas y otras publicaciones periódicas"
J - Información y comunicaciones,582 - Edición de programas informáticos,582000 - Edición de programas informáticos
J - Información y comunicaciones,"591 - Actividades de producción de películas cinematográficas, videos y programas de televisión","591300 - Actividades de distribución de películas cinematográficas, videos y programas de televisión"
J - Información y comunicaciones,"591 - Actividades de producción de películas cinematográficas, videos y programas de televisión","591200 - Actividades de postproducción de películas cinematográficas, videos y programas de televisión"
J - Información y comunicaciones,"591 - Actividades de producción de películas cinematográficas, videos y programas de televisión","591100 - Actividades de producción de películas cinematográficas, videos y programas de televisión"
J - Información y comunicaciones,"591 - Actividades de producción de películas cinematográficas, videos y programas de televisión",591400 - Actividades de exhibición de películas cinematográficas y cintas de video
J - Información y comunicaciones,592 - Actividades de grabación de sonido y edición de música,592000 - Actividades de grabación de sonido y edición de música
J - Información y comunicaciones,601 - Transmisiones de radio,601000 - Transmisiones de radio
J - Información y comunicaciones,602 - Programación y transmisiones de televisión,602000 - Programación y transmisiones de televisión
J - Información y comunicaciones,611 - Actividades de telecomunicaciones alámbricas,611090 - Otros servicios de telecomunicaciones alámbricas n.c.p.
J - Información y comunicaciones,611 - Actividades de telecomunicaciones alámbricas,611020 - Telefonía larga distancia
J - Información y comunicaciones,611 - Actividades de telecomunicaciones alámbricas,611010 - Telefonía fija
J - Información y comunicaciones,611 - Actividades de telecomunicaciones alámbricas,611030 - Televisión de pago por cable
J - Información y comunicaciones,612 - Actividades de telecomunicaciones inalámbricas,612010 - Telefonía móvil celular
J - Información y comunicaciones,612 - Actividades de telecomunicaciones inalámbricas,612090 - Otros servicios de telecomunicaciones inalámbricas n.c.p.
J - Información y comunicaciones,612 - Actividades de telecomunicaciones inalámbricas,612020 - Radiocomunicaciones móviles
J - Información y comunicaciones,612 - Actividades de telecomunicaciones inalámbricas,612030 - Televisión de pago inalámbrica
J - Información y comunicaciones,613 - Actividades de telecomunicaciones por satélite,613020 - Televisión de pago satelital
J - Información y comunicaciones,613 - Actividades de telecomunicaciones por satélite,613090 - Otros servicios de telecomunicaciones por satélite n.c.p.
J - Información y comunicaciones,613 - Actividades de telecomunicaciones por satélite,613010 - Telefonía móvil satelital
J - Información y comunicaciones,619 - Otras actividades de telecomunicaciones,619090 - Otras actividades de telecomunicaciones n.c.p.
J - Información y comunicaciones,619 - Otras actividades de telecomunicaciones,619010 - Centros de llamados y centros de acceso a internet
J - Información y comunicaciones,"620 - Actividades de programación informática, consultoría informática y actividades conexas",620100 - Actividades de programación informática
J - Información y comunicaciones,"620 - Actividades de programación informática, consultoría informática y actividades conexas",620900 - Otras actividades de tecnología de la información y de servicios informáticos
J - Información y comunicaciones,"620 - Actividades de programación informática, consultoría informática y actividades conexas",620200 - Actividades de consultoría de informática y de gestión de instalaciones informáticas
J - Información y comunicaciones,"631 - Procesamiento de datos, hospedaje y actividades conexas; portales web","631100 - Procesamiento de datos, hospedaje y actividades conexas"
J - Información y comunicaciones,"631 - Procesamiento de datos, hospedaje y actividades conexas; portales web",631200 - Portales web
J - Información y comunicaciones,639 - Otras actividades de servicios de información,639100 - Actividades de agencias de noticias
J - Información y comunicaciones,639 - Otras actividades de servicios de información,639900 - Otras actividades de servicios de información n.c.p.
K - Actividades financieras y de seguros,641 - Intermediación monetaria,641990 - Otros tipos de intermediación monetaria n.c.p.
K - Actividades financieras y de seguros,641 - Intermediación monetaria,641910 - Actividades bancarias
K - Actividades financieras y de seguros,641 - Intermediación monetaria,641100 - Banca central
K - Actividades financieras y de seguros,642 - Actividades de sociedades de cartera,642000 - Actividades de sociedades de cartera
K - Actividades financieras y de seguros,643 - Fondos y sociedades de inversión y entidades financieras similares,643000 - Fondos y sociedades de inversión y entidades financieras similares
K - Actividades financieras y de seguros,"649 - Otras actividades de servicios financieros, excepto las de seguros y fondos de pensiones",649202 - Actividades de crédito prendario
K - Actividades financieras y de seguros,"649 - Otras actividades de servicios financieros, excepto las de seguros y fondos de pensiones","649900 - Otras actividades de servicios financieros, excepto las de seguros y fondos de pensiones n.c.p."
K - Actividades financieras y de seguros,"649 - Otras actividades de servicios financieros, excepto las de seguros y fondos de pensiones",649209 - Otras actividades de concesión de crédito n.c.p.
K - Actividades financieras y de seguros,"649 - Otras actividades de servicios financieros, excepto las de seguros y fondos de pensiones",649203 - Cajas de compensación
K - Actividades financieras y de seguros,"649 - Otras actividades de servicios financieros, excepto las de seguros y fondos de pensiones",649201 - Financieras
K - Actividades financieras y de seguros,"649 - Otras actividades de servicios financieros, excepto las de seguros y fondos de pensiones",649100 - Leasing financiero
K - Actividades financieras y de seguros,651 - Seguros,651220 - Actividades de ISAPRE
K - Actividades financieras y de seguros,651 - Seguros,651100 - Seguros de vida
K - Actividades financieras y de seguros,651 - Seguros,"651210 - Seguros generales, excepto actividades de ISAPRE"
K - Actividades financieras y de seguros,652 - Reaseguros,652000 - Reaseguros
K - Actividades financieras y de seguros,653 - Fondos de pensiones,653000 - Fondos de pensiones
K - Actividades financieras y de seguros,"661 - Actividades auxiliares de servicios financieros, excepto las de seguros y fondos de pensiones",661209 - Otros servicios de corretaje de valores y commodities n.c.p.
K - Actividades financieras y de seguros,"661 - Actividades auxiliares de servicios financieros, excepto las de seguros y fondos de pensiones",661204 - Actividades de casas de cambio y operadores de divisa
K - Actividades financieras y de seguros,"661 - Actividades auxiliares de servicios financieros, excepto las de seguros y fondos de pensiones",661203 - Agentes de valores
K - Actividades financieras y de seguros,"661 - Actividades auxiliares de servicios financieros, excepto las de seguros y fondos de pensiones",661202 - Corredores de bolsa
